model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,error,no_response,reasoning_tokens,question_type,is_enigma,enigma_complexity
deepseek/deepseek-v4-flash,large_tree_en,1,Who has the same hair color as Gene's mother's father?,"Alana,Aleena,Allison,Amara,Arlo,Ava,Birdie,Bjorn,Blake,Bruno,Callie,Caroline,Crispin,Dan,Darius,Dirk,Dorothy,Duncan,Elaine,Eliza,Emma,Emmanuel,Estella,Esther,Fallon,Fay,Harold,Hogan,Honey,Immanuel,India,Jordan,Kenna,Keziah,Kinley,Kristen,Lamont,Lawson,Maeve,Magdalena,Marcia,Marco,Marigold,Meredith,Neil,Oswald,Pat,Pauline,Primrose,Priscilla,Roberto,Rosalind,Ruben,Shanna,Sophie,Stacey,Sunny,Tanya,Tatiana,Tia,Trent,Tristan,Urban,Ursula,Wilfredo,Willow,Yolanda,Yves",,False,False,0.0,0.24138116836547852,0,0,"API Error 404: {""error"":{""message"":""No endpoints available matching your guardrail restrictions and data policy. Configure: https://openrouter.ai/settings/privacy"",""code"":404}}",False,0,multihop,False,
deepseek/deepseek-v4-flash,large_tree_en,2,"Among Lewis and their siblings, who has the most children?","Glinda,Kenya,Lewis",,False,False,0.0,0.23399090766906738,0,0,"API Error 404: {""error"":{""message"":""No endpoints available matching your guardrail restrictions and data policy. Configure: https://openrouter.ai/settings/privacy"",""code"":404}}",False,0,conditional,False,
deepseek/deepseek-v4-flash,large_tree_en,3,"Among Kayla and their siblings, who has the most children?","Angelina,Gretel,Kayla",,False,False,0.0,0.2511000633239746,0,0,"API Error 404: {""error"":{""message"":""No endpoints available matching your guardrail restrictions and data policy. Configure: https://openrouter.ai/settings/privacy"",""code"":404}}",False,0,conditional,False,
deepseek/deepseek-v4-flash,large_tree_en,4,Who has the same number of children as Jeremy?,"Abel,Adela,Adeline,Alana,Alec,Alexa,Amaya,Amelia,Anastasia,Andre,Anita,Annabella,Anouk,Arianna,Ariel,Arlo,Armando,Ashley,Austin,Ava,Azalea,Barnaby,Bjorn,Blake,Bonnie,Bowen,Bradley,Britney,Bruce,Bruno,Cade,Callie,Calvin,Cameron,Caroline,Carter,Celeste,Clarence,Clementine,Cooper,Crystal,Curtis,Cyd,Dane,Danielle,Darren,Davis,Denver,Derek,Dion,Dottie,Drew,Duke,Dustin,Easton,Ebony,Edison,Effie,Eileen,Eliana,Elijah,Elodie,Eloise,Esther,Eunice,Evan,Evangeline,Everett,Fallon,Farley,Felipe,Fernanda,Finnegan,Florence,Floyd,Franco,Fraser,Genevieve,Gerald,Gertrude,Gil,Glenn,Gordon,Grady,Gunnar,Hannah,Hayden,Heath,Heather,Helena,Hope,Horace,Hudson,Hugo,Iliana,Imogen,Iris,Ivan,Ivana,Jacinda,Janelle,Janine,Jason,Jasper,Jeremiah,Jethro,Jewel,Joanna,Johann,John,Jordan,Judith,Judy,Julia,Juliana,Julianne,Juliet,June,Katya,Kay,Keith,Kendall,Kenna,Kingsley,Kira,Kirby,Knox,Kristen,Lacey,Lamar,Lamont,Lana,Larry,Lillian,Lily,Lincoln,Linus,Lloyd,Lorna,Lowell,Luther,Lyle,Magdalena,Maggie,Margot,Mariah,Marissa,Marlene,Marvin,Matilda,Maude,Maverick,Mel,Melinda,Mercer,Mercy,Meredith,Mila,Milena,Millie,Murphy,Murray,Nat,Nayeli,Ned,Nerissa,Nikita,Nola,Novella,Odin,Orion,Oscar,Oswald,Otis,Oz,Paola,Pascal,Pat,Patrick,Pauline,Pax,Pearl,Pedro,Pierce,Prudence,Rachel,Rafael,Rafaela,Raphael,Reed,Remy,Reuben,Rhonda,Riley,Robert,Roberto,Roger,Ross,Rufus,Saffron,Salome,Samira,Sasha,Shanna,Sharon,Solange,Steve,Tessa,Thea,Thiago,Tia,Tilly,Tina,Tony,Trent,Trenton,Truman,Tyler,Uma,Ursula,Valeria,Viggo,Vince,Viv,Walker,Warren,William,Wilson,Wyatt,Yma,Yolanda,Yumi,Yve,Zed,Ziva,Zoey,Zola",,False,False,0.0,0.23817777633666992,0,0,"API Error 404: {""error"":{""message"":""No endpoints available matching your guardrail restrictions and data policy. Configure: https://openrouter.ai/settings/privacy"",""code"":404}}",False,0,comparative,False,
deepseek/deepseek-v4-flash,large_tree_en,5,"Who is the father of the person with dark brown hair, blue-gray eyes and a purple hat?",Prescott,,False,False,0.0,0.2627835273742676,0,0,"API Error 404: {""error"":{""message"":""No endpoints available matching your guardrail restrictions and data policy. Configure: https://openrouter.ai/settings/privacy"",""code"":404}}",False,0,enigme,True,6
deepseek/deepseek-v4-flash,large_tree_en,6,Which descendants of Henrietta work as a architect?,"Dean,Petal",,False,False,0.0,0.5561108589172363,0,0,"API Error 404: {""error"":{""message"":""No endpoints available matching your guardrail restrictions and data policy. Configure: https://openrouter.ai/settings/privacy"",""code"":404}}",False,0,verticale_descendant_critere,False,
deepseek/deepseek-v4-flash,large_tree_en,7,"Who is the mother of the person with dark brown hair, light brown eyes and a green hat?",Alyssa,,False,False,0.0,0.23337125778198242,0,0,"API Error 404: {""error"":{""message"":""No endpoints available matching your guardrail restrictions and data policy. Configure: https://openrouter.ai/settings/privacy"",""code"":404}}",False,0,enigme,True,6
deepseek/deepseek-v4-flash,large_tree_en,8,Which descendants of Luna work as a scientist?,"Cecilia,Tina",,False,False,0.0,0.2466263771057129,0,0,"API Error 404: {""error"":{""message"":""No endpoints available matching your guardrail restrictions and data policy. Configure: https://openrouter.ai/settings/privacy"",""code"":404}}",False,0,verticale_descendant_critere,False,
deepseek/deepseek-v4-flash,large_tree_en,9,"If Jalen has brothers, who are their daughters?","Melba,Posy,Val",,False,False,0.0,0.24610614776611328,0,0,"API Error 404: {""error"":{""message"":""No endpoints available matching your guardrail restrictions and data policy. Configure: https://openrouter.ai/settings/privacy"",""code"":404}}",False,0,conditional,False,
deepseek/deepseek-v4-flash,large_tree_en,10,Who are the children of Marigold's grandparents' siblings?,Sophie,,False,False,0.0,0.24286222457885742,0,0,"API Error 404: {""error"":{""message"":""No endpoints available matching your guardrail restrictions and data policy. Configure: https://openrouter.ai/settings/privacy"",""code"":404}}",False,0,multihop,False,
