model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,tokens_used,error,no_response,reasoning_tokens,question_type,is_enigma,enigma_complexity
glm-4.5-air,huge_tree_en,1,Who are Mel's great-grandparents?,"Kathy,Yvon",,False,False,0.0,717.5821385383606,16000,,True,22754,relation_complexe,False,
glm-4.5-air,huge_tree_en,2,Which of Teresa's children have silver hair?,Kelly,Kelly,True,True,1.0,12.88280177116394,180,,False,248,relation_attribut_composee,False,
glm-4.5-air,huge_tree_en,3,Who are all of Len's descendants?,"Abel,Laura,Mel,Yve","Yve,Abel,Laura,Mel",True,True,1.0,290.7916352748871,534,,False,728,verticale_descendant,False,
glm-4.5-air,huge_tree_en,4,Which of Laura's siblings work as a nurse?,Abel,Abel,True,True,1.0,12.106234073638916,439,,False,610,relation_attribut_composee,False,
glm-4.5-air,huge_tree_en,5,Who has more children: Gil or their siblings?,Gil,,False,False,0.0,678.0595598220825,16000,,True,23968,conditional,False,
glm-4.5-air,huge_tree_en,6,How many grandsons does Rhonda have?,1,Xen,False,False,0.0,9.733993768692017,311,,False,418,comptage_complexe,False,
glm-4.5-air,huge_tree_en,7,Who are Tex's nephews and nieces?,"Fred,Pia,Rachel","Fred,Pia,Rachel",True,True,1.0,12.76456618309021,453,,False,600,relation_complexe,False,
glm-4.5-air,huge_tree_en,8,Who are Oz's brothers?,None,None,True,True,1.0,14.748183488845825,248,,False,368,relation_complexe,False,
glm-4.5-air,huge_tree_en,9,Which of Brooke's children have gray hair?,Pax,Pax,True,True,1.0,7.468839645385742,189,,False,256,relation_attribut_composee,False,
glm-4.5-air,huge_tree_en,10,Who has chestnut hair and violet eyes?,"Todd,Trevor","Trevor,Todd",True,True,1.0,653.8205025196075,7114,,False,9352,recherche_multi_criteres,False,
glm-4.5-air,huge_tree_en,11,Who are Melissa's uncles and aunts?,"Orion,Viv","Orion,Viv",True,True,1.0,20.025415897369385,650,,False,876,relation_complexe,False,
glm-4.5-air,huge_tree_en,12,Quelles sont les couleurs de cheveux des beaux-parents des enfants de Xavier ?,"gray,jet black",None,False,False,0.0,298.22969341278076,635,,False,904,multihop,False,
glm-4.5-air,huge_tree_en,13,Which men are in the same generation as Noah?,"Abel,Alexander,Blake,Charles,Colin,Damien,Darren,Diego,Edgar,Edward,Fernando,Francis,Fred,George,Gil,Grant,Gus,Hector,Henry,Hux,Ike,Jack,Jax,Jose,Keith,Kyle,Lance,Leo,Lester,Liam,Louis,Luke,Marcus,Mel,Moe,Nathan,Neil,Nicholas,Nolan,Norman,Oscar,Otto,Owen,Oz,Philip,Sam,Samuel,Sebastian,Sid,Steven,Timothy,Tristan,Tux,Tyler,Vic,Vincent,Wade,Walt,Walter,Warren,Wayne,Wes,Wilfredo,Xen,Xu,York,Yves,Yves,Zane,Zep",,False,False,0.0,784.794401884079,16000,,True,26738,transversale_generation,False,
glm-4.5-air,huge_tree_en,14,Who has the same number of children as Rodrigo?,"Aaron,Alba,Andrea,Andy,Arthur,Ava,Brooke,Courtney,Diego,Edith,Edward,Emma,Faye,Felicity,Gloria,Gordon,Greta,Hal,Harold,Hugo,Ira,Iris,Ivan,Jade,Jake,James,Janet,Jay,Jeremy,Jim,Kelly,Kenneth,Kristen,Lance,Leonard,Lila,Mason,Max,Michael,Monica,Mya,Nat,Nell,Octavia,Opal,Orion,Pat,Patricia,Paul,Penny,Peter,Petra,Quentin,Ralph,Randall,Robert,Rose,Ruben,Rue,Samantha,Sandra,Sylvia,Tanya,Tara,Tex,Theodore,Tia,Tina,Tony,Trevor,Una,Vera,Vernon,Veronica,Vince,Wil,Win,Xavier,Xia,Ximena,Xiomara,Yann,Yma,Yuki,Yvette,Yvonne,Zach,Zachary,Zyx","Aaron,Brooke,Courtney,Gloria,Hal,Hugo,Jade,Nat,Pat,Rose,Tanya,Xiomara,Yann,Alba,Andy,Ava,Faye,Gordon,Iris,Ivan,James,Janet,Leonard,Robert,Samantha,Sylvia,Trevor,Vernon,Veronica,Vince,Wil,Xavier,Yvonne,Zachary,Andrea,Arthur,Felicity,Greta,Jeremy,Jim,Kenneth,Lila,Mason,Max,Michael,Mya,Nell,Octavia,Opal,Orion,Petra,Ralph,Rue,Sandra,Tara,Tex,Theodore,Tia,Tina,Tony,Vera,Win,Zyx,Diego,Kristen,Lance,Ximena",False,False,0.7528089887640449,181.1131293773651,11936,,False,12452,comparative,False,
glm-4.5-air,huge_tree_en,15,Whose parent is Diego?,"Oliver,Rex","Oliver,Rex",True,True,1.0,7.604631423950195,148,,False,220,relation_inverse,False,
glm-4.5-air,huge_tree_en,16,Who are Maya's grandmothers?,Penny,,False,False,0.0,749.4588859081268,16000,,True,21656,relation_complexe,False,
glm-4.5-air,huge_tree_en,17,Who is the brother of Larry who works as a social worker?,Blake,,False,False,0.0,531.2130341529846,16000,,True,27344,enigme,True,1
glm-4.5-air,huge_tree_en,18,Who are Mya's nephews and nieces?,"Claire,Damien,Esther,Katherine,Mia,Sue","Claire,Damien,Sue,Esther,Katherine,Mia",True,True,1.0,13.208115339279175,547,,False,672,relation_complexe,False,
glm-4.5-air,huge_tree_en,19,Which of Katherine's siblings work as a musician?,Mia,Mia,True,True,1.0,10.881308317184448,319,,False,474,relation_attribut_composee,False,
glm-4.5-air,huge_tree_en,20,Who are Lester's sisters?,Holly,Holly,True,True,1.0,281.5188994407654,394,,False,550,relation_complexe,False,
glm-4.5-air,huge_tree_en,21,Who is Natalie's father?,Cameron,Cameron,True,True,1.0,6.36397910118103,153,,False,222,relation_directe,False,
glm-4.5-air,huge_tree_en,22,Whose parent is Uri?,"Orion,Richard,Viv","Orion,Richard,Viv",True,True,1.0,7.6145524978637695,220,,False,294,relation_inverse,False,
glm-4.5-air,huge_tree_en,23,Who is the child of the son of Ken?,Fatima,Fatima,True,True,1.0,9.512773513793945,169,,False,232,enigme,True,2
glm-4.5-air,huge_tree_en,24,Who is the sister of Yuki with light brown hair?,Ursula,,False,False,0.0,735.2199440002441,16000,,True,25002,enigme,True,1
glm-4.5-air,huge_tree_en,25,Who are Rex's great-grandfathers?,Peter,,False,False,0.0,774.9908690452576,16000,,True,22416,relation_complexe,False,
glm-4.5-air,huge_tree_en,26,Who is Molly's mother?,Xenia,Xenia,True,True,1.0,6.497248411178589,117,,False,160,relation_directe,False,
glm-4.5-air,huge_tree_en,27,Which men are in the same generation as Ursula?,"Adam,Andre,Arthur,Ben,Bob,Brent,Brian,Bruno,Carter,Christopher,Clay,Dave,Ed,Elijah,Emmanuel,Eric,Felix,Floyd,Gavin,Harold,Howard,Ian,Ira,Isaac,Ivan,Jake,Jay,Jeremy,Jim,Joel,Karl,Kenneth,Kent,Larry,Leonard,Lucas,Martin,Mason,Max,Michael,Ned,Orion,Orlando,Paul,Quincy,Ralph,Ray,Rex,Ricardo,Richard,Ruben,Scott,Tex,Theodore,Todd,Tomas,Tony,Ulrich,Ulysses,Urban,Vex,Victor,Wesley,Wyatt,Xander,Zach,Zyx",,False,False,0.0,798.6790642738342,16000,,True,23550,transversale_generation,False,
glm-4.5-air,huge_tree_en,28,Quelles sont les couleurs de cheveux des beaux-parents des enfants de Rose ?,"chestnut,light brown",,False,False,0.0,766.1821477413177,16000,,True,22236,multihop,False,
glm-4.5-air,huge_tree_en,29,Who is Ben's father?,Irving,Irving,True,True,1.0,7.0764405727386475,159,,False,226,relation_directe,False,
