model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,error,no_response,reasoning_tokens,question_type,is_enigma,enigma_complexity
deepseek/deepseek-v4-flash,large_tree_en,1,Who has the same hair color as Gene's mother's father?,"Alana,Aleena,Allison,Amara,Arlo,Ava,Birdie,Bjorn,Blake,Bruno,Callie,Caroline,Crispin,Dan,Darius,Dirk,Dorothy,Duncan,Elaine,Eliza,Emma,Emmanuel,Estella,Esther,Fallon,Fay,Harold,Hogan,Honey,Immanuel,India,Jordan,Kenna,Keziah,Kinley,Kristen,Lamont,Lawson,Maeve,Magdalena,Marcia,Marco,Marigold,Meredith,Neil,Oswald,Pat,Pauline,Primrose,Priscilla,Roberto,Rosalind,Ruben,Shanna,Sophie,Stacey,Sunny,Tanya,Tatiana,Tia,Trent,Tristan,Urban,Ursula,Wilfredo,Willow,Yolanda,Yves",None,False,False,0.0,38.77545881271362,48571,2510,,False,3598,multihop,False,
deepseek/deepseek-v4-flash,large_tree_en,2,"Among Lewis and their siblings, who has the most children?","Glinda,Kenya,Lewis","Lewis,Glinda,Kenya",True,True,1.0,13.14812684059143,48570,763,,False,944,conditional,False,
deepseek/deepseek-v4-flash,large_tree_en,3,"Among Kayla and their siblings, who has the most children?","Angelina,Gretel,Kayla","Kayla,Angelina,Gretel",True,True,1.0,28.78500986099243,48571,1823,,False,2326,conditional,False,
deepseek/deepseek-v4-flash,large_tree_en,4,Who has the same number of children as Jeremy?,"Abel,Adela,Adeline,Alana,Alec,Alexa,Amaya,Amelia,Anastasia,Andre,Anita,Annabella,Anouk,Arianna,Ariel,Arlo,Armando,Ashley,Austin,Ava,Azalea,Barnaby,Bjorn,Blake,Bonnie,Bowen,Bradley,Britney,Bruce,Bruno,Cade,Callie,Calvin,Cameron,Caroline,Carter,Celeste,Clarence,Clementine,Cooper,Crystal,Curtis,Cyd,Dane,Danielle,Darren,Davis,Denver,Derek,Dion,Dottie,Drew,Duke,Dustin,Easton,Ebony,Edison,Effie,Eileen,Eliana,Elijah,Elodie,Eloise,Esther,Eunice,Evan,Evangeline,Everett,Fallon,Farley,Felipe,Fernanda,Finnegan,Florence,Floyd,Franco,Fraser,Genevieve,Gerald,Gertrude,Gil,Glenn,Gordon,Grady,Gunnar,Hannah,Hayden,Heath,Heather,Helena,Hope,Horace,Hudson,Hugo,Iliana,Imogen,Iris,Ivan,Ivana,Jacinda,Janelle,Janine,Jason,Jasper,Jeremiah,Jethro,Jewel,Joanna,Johann,John,Jordan,Judith,Judy,Julia,Juliana,Julianne,Juliet,June,Katya,Kay,Keith,Kendall,Kenna,Kingsley,Kira,Kirby,Knox,Kristen,Lacey,Lamar,Lamont,Lana,Larry,Lillian,Lily,Lincoln,Linus,Lloyd,Lorna,Lowell,Luther,Lyle,Magdalena,Maggie,Margot,Mariah,Marissa,Marlene,Marvin,Matilda,Maude,Maverick,Mel,Melinda,Mercer,Mercy,Meredith,Mila,Milena,Millie,Murphy,Murray,Nat,Nayeli,Ned,Nerissa,Nikita,Nola,Novella,Odin,Orion,Oscar,Oswald,Otis,Oz,Paola,Pascal,Pat,Patrick,Pauline,Pax,Pearl,Pedro,Pierce,Prudence,Rachel,Rafael,Rafaela,Raphael,Reed,Remy,Reuben,Rhonda,Riley,Robert,Roberto,Roger,Ross,Rufus,Saffron,Salome,Samira,Sasha,Shanna,Sharon,Solange,Steve,Tessa,Thea,Thiago,Tia,Tilly,Tina,Tony,Trent,Trenton,Truman,Tyler,Uma,Ursula,Valeria,Viggo,Vince,Viv,Walker,Warren,William,Wilson,Wyatt,Yma,Yolanda,Yumi,Yve,Zed,Ziva,Zoey,Zola","Abel,Adela,Adeline,Alana,Alec,Alexa,Amaya,Anastasia,Andre,Annabella,Anita,Ariel,Arianna,Arlo,Armando,Ashley,Austin,Ava,Azalea,Barnaby,Bjorn,Blake,Bonnie,Bowen,Bradley,Britney,Bruce,Bruno,Cade,Callie,Calvin,Cameron,Carter,Celeste,Clarence,Clementine,Cooper,Crystal,Curtis,Cyd,Dane,Danielle,Darren,Davis,Denver,Derek,Dion,Dottie,Drew,Duke,Dustin,Easton,Ebony,Edison,Effie,Eileen,Eliana,Elijah,Elodie,Eloise,Esther,Eunice,Evan,Evangeline,Everett,Fallon,Farley,Felipe,Fernanda,Finnegan,Florence,Floyd,Franco,Fraser,Genevieve,Gerald,Gertrude,Gil,Glenn,Gordon,Grady,Gunnar,Hannah,Hayden,Heath,Heather,Helena,Hope,Horace,Hugo,Iliana,Imogen,Iris,Ivana,Ivan,Jacinda,Janelle,Janine,Jason,Jasper,Jeremiah,Jeremy,Jethro,Jewel,Joanna,Johann,John,Jordan,Judith,Judy,Julia,Juliana,Julianne,June,Katya,Kay,Keith,Kendall,Kenna,Kingsley,Kirby,Kira,Knox,Kristen,Lacey,Lamar,Lamont,Lana,Larry,Lily,Lincoln,Linus,Lloyd,Lorna,Lowell,Luther,Lyle,Magdalena,Maggie,Margot,Marlene,Marissa,Marvin,Matilda,Maude,Maverick,Mel,Melinda,Mercer,Mercy,Meredith,Mila,Milena,Millie,Murray,Nat,Nayeli,Ned,Nerissa,Nikita,Novella,Odin,Orion,Oscar,Oswald,Otis,Oz,Paola,Pascal,Pat,Patrick,Pauline,Pax,Pearl,Pedro,Pierce,Prudence,Rachel,Rafael,Rafaela,Raphael,Reed,Remy,Reuben,Rhonda,Riley,Robert,Roberto,Roger,Ross,Rufus,Saffron,Salome,Samira,Sasha,Shanna,Sharon,Solange,Steve,Tessa,Thea,Tia,Tilly,Tina,Tony,Trent,Trenton,Truman,Tyler,Uma,Ursula,Valeria,Viggo,Vince,Viv,Walker,Warren,William,Wilson,Wyatt,Yma,Yolanda,Yumi,Yve,Zed,Ziva,Zoey,Zola",True,False,0.9537815126050421,400.530152797699,48568,29452,,False,29348,comparative,False,
deepseek/deepseek-v4-flash,large_tree_en,5,"Who is the father of the person with dark brown hair, blue-gray eyes and a purple hat?",Prescott,Prescott,True,True,1.0,100.39469909667969,48578,7234,,False,6920,enigme,True,6
deepseek/deepseek-v4-flash,large_tree_en,6,Which descendants of Henrietta work as a architect?,"Dean,Petal","Dean,Petal",True,True,1.0,57.37242269515991,48568,4099,,False,5290,verticale_descendant_critere,False,
deepseek/deepseek-v4-flash,large_tree_en,7,"Who is the mother of the person with dark brown hair, light brown eyes and a green hat?",Alyssa,Alyssa,True,True,1.0,292.958349943161,48578,16363,,False,19576,enigme,True,6
deepseek/deepseek-v4-flash,large_tree_en,8,Which descendants of Luna work as a scientist?,"Cecilia,Tina","Tina,Cecilia",True,True,1.0,42.603838205337524,48567,3014,,False,3794,verticale_descendant_critere,False,
deepseek/deepseek-v4-flash,large_tree_en,9,"If Jalen has brothers, who are their daughters?","Melba,Posy,Val","Melba,Posy,Val",True,True,1.0,23.384173154830933,48569,1521,,False,1932,conditional,False,
deepseek/deepseek-v4-flash,large_tree_en,10,Who are the children of Marigold's grandparents' siblings?,Sophie,Sophie,True,True,1.0,23.33910083770752,48571,1535,,False,2152,multihop,False,
