model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,cached_tokens,cost_usd,error,no_response,reasoning_tokens,question_type,difficulty,hallucinated_names,is_enigma,enigma_complexity,batch_size
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,1,"Which brother of the child of the grandchild of the person with light brown hair, gray eyes and a pink hat has chestnut hair?",Maxim,,False,False,0.0,90.0066616177559,0,0,0,,Timeout,False,0,enigme,enigma,0,True,8,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,2,Which descendants of Fabian work as a dentist?,"Leo,Leonora",,False,False,0.0,90.00666865110398,0,0,0,,Timeout,False,0,verticale_descendant_critere,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,3,"Who are the children of the siblings of the grandparents of the person with red hair, hazel eyes and an orange hat?","Denver,Juliette",,False,False,0.0,90.00666955709457,0,0,0,,Timeout,False,0,multihop,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,4,Which descendants of Brice work as a waiter?,"Livia,Valentina",,False,False,0.0,90.0066723704338,0,0,0,,Timeout,False,0,verticale_descendant_critere,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,5,"How many people answer the following question (answer with a number): ""Who has the same number of children as the person with brown hair, blue eyes and a burgundy hat?""",237,,False,False,0.0,90.0066728591919,0,0,0,,Timeout,False,0,comparative,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,6,"Which mother of the grandchild of the child of the person with gray hair, brown eyes and a burgundy hat has blue-gray eyes?",Eugenia,,False,False,0.0,90.00667330026627,0,0,0,,Timeout,False,0,enigme,enigma,0,True,8,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,7,Which descendants of Elvis work as a photographer?,"Chanel,Irving",,False,False,0.0,90.00667361021041,0,0,0,,Timeout,False,0,verticale_descendant_critere,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,8,"Which son of the grandfather of the uncle of the person with strawberry blonde hair, gray eyes and a white hat has dark brown hair?",Micah,,False,False,0.0,90.00667389631272,0,0,0,,Timeout,False,0,enigme,enigma,0,True,8,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,9,"Among the person with silver hair, green-brown eyes and a burgundy hat and their siblings, who has the most children?","Fatima,Mae,Maisie",,False,False,0.0,90.00667694807052,0,0,0,,Timeout,False,0,conditional,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,10,"Which child of the grandfather of the uncle of the person with brown hair, gray eyes and a cream hat has red hair?",Phoenix,,False,False,0.0,90.00667868852615,0,0,0,,Timeout,False,0,enigme,enigma,0,True,8,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,11,"Among the person with black hair, light brown eyes and a gray hat and their siblings, who has the most children?","Jonathan,Phyllis,Yasmina",,False,False,0.0,90.00667906999588,0,0,0,,Timeout,False,0,conditional,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,12,"If Pauline has brothers, who are their daughters?",Emma,,False,False,0.0,90.0066793680191,0,0,0,,Timeout,False,0,conditional,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,13,Which grandfather of the child of the grandfather of Nora wears a navy hat?,Christopher,,False,False,0.0,90.00667968988418,0,0,0,,Timeout,False,0,enigme,enigma,0,True,7,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,14,"Among the person with dark brown hair, black eyes and a black hat and their siblings, who has the most children?","Felicia,Janet,Thornton",,False,False,0.0,90.0066799879074,0,0,0,,Timeout,False,0,conditional,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,15,"Which descendants of the person with black hair, light brown eyes and a silver hat work as a pilot?","Carmen,Murray",,False,False,0.0,90.00668028593063,0,0,0,,Timeout,False,0,verticale_descendant_critere,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,16,Which grandfather of the female cousin of the grandmother of Denise has blue eyes?,Jude,,False,False,0.0,90.0066806435585,0,0,0,,Timeout,False,0,enigme,enigma,0,True,7,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,17,Which female cousin of the male cousin of the daughter of Rodrigo has gray hair?,Raquel,,False,False,0.0,90.00668096542358,0,0,0,,Timeout,False,0,enigme,enigma,0,True,7,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,18,"How many people answer the following question (answer with a number): ""Who has the same number of children as Faith?""",207,,False,False,0.0,90.00668125152588,0,0,0,,Timeout,False,0,comparative,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,19,Which grandfather of the grandfather of the sister of Ella wears a white hat?,Dirk,,False,False,0.0,90.00668153762817,0,0,0,,Timeout,False,0,enigme,enigma,0,True,7,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,20,"How many people answer the following question (answer with a number): ""Who has the same hair color as the father of the mother of the person with strawberry blonde hair, brown eyes and a tan hat?""",73,,False,False,0.0,90.00668177604675,0,0,0,,Timeout,False,0,multihop,hard,0,False,,20
