model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,tokens_used,error,no_response,reasoning_tokens,question_type,is_enigma,enigma_complexity
horizon-alpha,huge_tree_en,1,Who are Mel's great-grandparents?,"Kathy,Yvon","Carter,Yasmin,Kathy,Yvon",False,False,0.5,3.9404664039611816,27,,False,0,relation_complexe,False,
horizon-alpha,huge_tree_en,2,Which of Teresa's children have silver hair?,Kelly,Kelly,True,True,1.0,2.914137840270996,19,,False,0,relation_attribut_composee,False,
horizon-alpha,huge_tree_en,3,Who are all of Len's descendants?,"Abel,Laura,Mel,Yve","Yve,Abel,Laura,Mel",True,True,1.0,3.076650857925415,27,,False,0,verticale_descendant,False,
horizon-alpha,huge_tree_en,4,Which of Laura's siblings work as a nurse?,Abel,Abel,True,True,1.0,7.094972848892212,20,,False,0,relation_attribut_composee,False,
horizon-alpha,huge_tree_en,5,Who has more children: Gil or their siblings?,Gil,None,False,False,0.0,3.3039205074310303,19,,False,0,conditional,False,
horizon-alpha,huge_tree_en,6,How many grandsons does Rhonda have?,1,None,False,False,0.0,4.888242483139038,19,,False,0,comptage_complexe,False,
horizon-alpha,huge_tree_en,7,Who are Tex's nephews and nieces?,"Fred,Pia,Rachel","Iva,Una,Beatrice,Frank,Alexander,Alice,Delphine,Hana,Henry,Imogen,Steven,Amelia,Nyx,Paula,Fred,Pia,Rachel,Noah,Wayne,Yolanda,Amy,Tex,Faith,Owen,Wes,Bruno,Diana,Edith,Marcus,Uma,Violet,Linda,Rita,Una,Zane,Carmen,Charles,Heather,Hector,Melissa,Xenia,Jax,Rebecca,Bianca,Julia,Delphine,Hana,Beatrice,Frank,Jax,Rebecca,Samuel,Vic,Ingrid,Nora,Zara,Oz,Virginia,Beatrice,Frank,Delphine,Hana,Oliver,Rex,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank,Beatrice,Frank",False,False,0.05660377358490566,6.129396677017212,241,,False,0,relation_complexe,False,
horizon-alpha,huge_tree_en,8,Who are Oz's brothers?,None,Virginia,False,False,0.0,4.39180850982666,19,,False,0,relation_complexe,False,
horizon-alpha,huge_tree_en,9,Which of Brooke's children have gray hair?,Pax,Pax,True,True,1.0,4.680310964584351,20,,False,0,relation_attribut_composee,False,
horizon-alpha,huge_tree_en,10,Who has chestnut hair and violet eyes?,"Todd,Trevor","Dean,Ben,Mason,Mel,Oscar,Tristan",False,False,0.0,3.7397215366363525,30,,False,0,recherche_multi_criteres,False,
horizon-alpha,huge_tree_en,11,Who are Melissa's uncles and aunts?,"Orion,Viv","Hector,Xenia,Orion,Viv,Uri,Valerie",False,False,0.3333333333333333,7.111795902252197,32,,False,0,relation_complexe,False,
horizon-alpha,huge_tree_en,12,Quelles sont les couleurs de cheveux des beaux-parents des enfants de Xavier ?,"gray,jet black","blonde,auburn",False,False,0.0,3.736414909362793,23,,False,0,multihop,False,
