model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,tokens_used,error,no_response,reasoning_tokens,question_type,is_enigma,enigma_complexity
glm-4.5,huge_tree_en,1,Who are Mel's great-grandparents?,"Kathy,Yvon","Kathy,Yvon",True,True,1.0,20.952916383743286,487,,False,654,relation_complexe,False,
glm-4.5,huge_tree_en,2,Which of Teresa's children have silver hair?,Kelly,Kelly,True,True,1.0,11.051681995391846,130,,False,196,relation_attribut_composee,False,
glm-4.5,huge_tree_en,3,Who are all of Len's descendants?,"Abel,Laura,Mel,Yve","Yve,Abel,Laura,Mel",True,True,1.0,20.321146249771118,342,,False,482,verticale_descendant,False,
glm-4.5,huge_tree_en,4,Which of Laura's siblings work as a nurse?,Abel,Abel,True,True,1.0,19.297141075134277,329,,False,494,relation_attribut_composee,False,
glm-4.5,huge_tree_en,5,Who has more children: Gil or their siblings?,Gil,None,False,False,0.0,15.31552529335022,258,,False,406,conditional,False,
glm-4.5,huge_tree_en,6,How many grandsons does Rhonda have?,1,None,False,False,0.0,30.503369092941284,756,,False,1122,comptage_complexe,False,
glm-4.5,huge_tree_en,7,Who are Tex's nephews and nieces?,"Fred,Pia,Rachel","Fred,Pia,Rachel",True,True,1.0,20.775222301483154,389,,False,540,relation_complexe,False,
glm-4.5,huge_tree_en,8,Who are Oz's brothers?,None,None,True,True,1.0,16.59960627555847,303,,False,462,relation_complexe,False,
glm-4.5,huge_tree_en,9,Which of Brooke's children have gray hair?,Pax,Pax,True,True,1.0,11.610190391540527,164,,False,236,relation_attribut_composee,False,
glm-4.5,huge_tree_en,10,Who has chestnut hair and violet eyes?,"Todd,Trevor","Courtney,Delia,Ivan,Janet,Jeremy,Jim,Joan,Kayla,Margaret,Melissa,Priscilla,Ray,Serena,Sid,Sky,Tiffany,Timothy,Tux,Ulrich,Vincent,Wilfredo",False,False,0.0,8.893349170684814,60,,False,0,recherche_multi_criteres,False,
glm-4.5,huge_tree_en,11,Who are Melissa's uncles and aunts?,"Orion,Viv","Orion,Viv",True,True,1.0,18.296534061431885,562,,False,804,relation_complexe,False,
glm-4.5,huge_tree_en,12,Quelles sont les couleurs de cheveux des beaux-parents des enfants de Xavier ?,"gray,jet black","strawberryblonde,platinumblonde",False,False,0.0,5.798252582550049,15,,False,0,multihop,False,
