model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,cached_tokens,cost_usd,error,no_response,reasoning_tokens,question_type,difficulty,hallucinated_names,is_enigma,enigma_complexity,batch_size
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,1,"Which brother of the child of the grandchild of the person with light brown hair, gray eyes and a pink hat has chestnut hair?",Maxim,,False,False,0.0,59.75878179073334,1829,3200,0,0.00115206,,True,3199,enigme,enigma,0,True,8,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,2,Which descendants of Fabian work as a dentist?,"Leo,Leonora",,False,False,0.0,59.75878684520721,1829,3200,0,0.00115206,,True,3199,verticale_descendant_critere,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,3,"Who are the children of the siblings of the grandparents of the person with red hair, hazel eyes and an orange hat?","Denver,Juliette",,False,False,0.0,59.75879014730454,1829,3200,0,0.00115206,,True,3199,multihop,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,4,Which descendants of Brice work as a waiter?,"Livia,Valentina",,False,False,0.0,59.75879201889038,1829,3200,0,0.00115206,,True,3199,verticale_descendant_critere,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,5,"How many people answer the following question (answer with a number): ""Who has the same number of children as the person with brown hair, blue eyes and a burgundy hat?""",237,,False,False,0.0,59.758793807029726,1829,3200,0,0.00115206,,True,3199,comparative,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,6,"Which mother of the grandchild of the child of the person with gray hair, brown eyes and a burgundy hat has blue-gray eyes?",Eugenia,,False,False,0.0,59.75879554748535,1829,3200,0,0.00115206,,True,3199,enigme,enigma,0,True,8,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,7,Which descendants of Elvis work as a photographer?,"Chanel,Irving",,False,False,0.0,59.75879727602005,1829,3200,0,0.00115206,,True,3199,verticale_descendant_critere,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,8,"Which son of the grandfather of the uncle of the person with strawberry blonde hair, gray eyes and a white hat has dark brown hair?",Micah,,False,False,0.0,59.7587989449501,1829,3200,0,0.00115206,,True,3199,enigme,enigma,0,True,8,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,9,"Among the person with silver hair, green-brown eyes and a burgundy hat and their siblings, who has the most children?","Fatima,Mae,Maisie",,False,False,0.0,59.758800625801086,1829,3200,0,0.00115206,,True,3199,conditional,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,10,"Which child of the grandfather of the uncle of the person with brown hair, gray eyes and a cream hat has red hair?",Phoenix,,False,False,0.0,59.75880233049393,1829,3200,0,0.00115206,,True,3199,enigme,enigma,0,True,8,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,11,"Among the person with black hair, light brown eyes and a gray hat and their siblings, who has the most children?","Jonathan,Phyllis,Yasmina",,False,False,0.0,59.75880414247513,1829,3200,0,0.00115206,,True,3199,conditional,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,12,"If Pauline has brothers, who are their daughters?",Emma,,False,False,0.0,59.75880581140518,1829,3200,0,0.00115206,,True,3199,conditional,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,13,Which grandfather of the child of the grandfather of Nora wears a navy hat?,Christopher,,False,False,0.0,59.758807468414304,1829,3200,0,0.00115206,,True,3199,enigme,enigma,0,True,7,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,14,"Among the person with dark brown hair, black eyes and a black hat and their siblings, who has the most children?","Felicia,Janet,Thornton",,False,False,0.0,59.75880914926529,1829,3200,0,0.00115206,,True,3199,conditional,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,15,"Which descendants of the person with black hair, light brown eyes and a silver hat work as a pilot?","Carmen,Murray",,False,False,0.0,59.758812475204465,1829,3200,0,0.00115206,,True,3199,verticale_descendant_critere,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,16,Which grandfather of the female cousin of the grandmother of Denise has blue eyes?,Jude,,False,False,0.0,59.75881410837174,1829,3200,0,0.00115206,,True,3199,enigme,enigma,0,True,7,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,17,Which female cousin of the male cousin of the daughter of Rodrigo has gray hair?,Raquel,,False,False,0.0,59.75881586074829,1829,3200,0,0.00115206,,True,3199,enigme,enigma,0,True,7,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,18,"How many people answer the following question (answer with a number): ""Who has the same number of children as Faith?""",207,,False,False,0.0,59.75881717205048,1829,3200,0,0.00115206,,True,3199,comparative,hard,0,False,,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,19,Which grandfather of the grandfather of the sister of Ella wears a white hat?,Dirk,,False,False,0.0,59.75881849527359,1829,3200,0,0.00115206,,True,3199,enigme,enigma,0,True,7,20
deepseek/deepseek-v4-flash-0731,huge_tree_en_expert,20,"How many people answer the following question (answer with a number): ""Who has the same hair color as the father of the mother of the person with strawberry blonde hair, brown eyes and a tan hat?""",73,,False,False,0.0,59.758819699287415,1829,3200,0,0.00115206,,True,3199,multihop,hard,0,False,,20
