model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,cached_tokens,cost_usd,error,no_response,reasoning_tokens,question_type,difficulty,hallucinated_names,is_enigma,enigma_complexity,batch_size,finish_reason,provider,thinking_level
gpt-5.6@high,hard_v4_en,1,"Who are the step-parents of the person with dark brown hair, hazel eyes and a pink hat (partners of one of the parents of the person with dark brown hair, hazel eyes and a pink hat who are not the parents of the person with dark brown hair, hazel eyes and a pink hat)?",Tux,Tux,True,True,1.0,14.322863101959229,3080,945,0,0.03122,,False,932,beaux_parents,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,2,Which people without parents work as a programmer?,"Everett,Jax,Preston","Everett,Jax,Preston",True,True,1.0,14.322883701324463,3080,945,0,0.03122,,False,932,verticale_racine_critere,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,3,Which people without parents work as an artist?,"Blair,Curtis,Dina,Malachi,Micah,Rafaela,Trisha","Blair,Curtis,Dina,Malachi,Micah,Rafaela,Trisha",True,True,1.0,14.322901058197022,3080,945,0,0.03122,,False,932,verticale_racine_critere,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,4,"Among Willow and their siblings, who has the most children?","Emilio,Willow","Emilio,Willow",True,True,1.0,14.322914695739746,3080,945,0,0.03122,,False,932,conditional,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,5,Which people without parents work as a manager?,"Fernanda,Marigold,Rudy,Simone","Fernanda,Marigold,Rudy,Simone",True,True,1.0,14.322929096221923,3080,945,0,0.03122,,False,932,verticale_racine_critere,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,6,"What are the hair colors of the in-laws of the children of the person with black hair, green-brown eyes and a navy hat?","chestnut,dark brown,platinum blonde","chestnut,platinum blonde,dark brown",True,True,1.0,17.57803921699524,3080,1148,0,0.03528,,False,1139,multihop,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,7,Who are Lucy's step-parents (partners of one of Lucy's parents who are not Lucy's parents)?,Maxim,Maxim,True,True,1.0,17.578055381774902,3080,1148,0,0.03528,,False,1139,beaux_parents,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,8,Which people without parents work as a pilot?,"Anouk,Hannah,Jay,Vaughn","Hannah,Jay,Anouk,Vaughn",True,True,1.0,17.57807402610779,3080,1148,0,0.03528,,False,1139,verticale_racine_critere,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,9,"Who are the half-siblings of the person with strawberry blonde hair, green-brown eyes and a pink hat?",Kieran,Kieran,True,True,1.0,17.578087091445923,3080,1148,0,0.03528,,False,1139,demi_fratrie,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,10,"How many half-siblings does the person with silver hair, blue eyes and a white hat have?",2,1,False,False,0.0,17.578101253509523,3080,1148,0,0.03528,,False,1139,demi_fratrie,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,11,"Which descendants of the person with black hair, dark brown eyes and a pink hat work as a lawyer?","Rosalie,Talia","Rosalie,Talia",True,True,1.0,28.68599705696106,3075,1861,0,0.04952,,False,1849,verticale_descendant_critere,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,12,Which people without parents work as a banker?,"Jared,Khloe,Louise,Nadine,Tristan","Jared,Khloe,Louise,Nadine,Tristan",True,True,1.0,28.68603072166443,3075,1861,0,0.04952,,False,1849,verticale_racine_critere,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,13,"Which descendants of the person with gray hair, gray eyes and a beige hat work as an actor?","Daria,Lexi,Rayna,Roger","Daria,Lexi,Rayna,Roger",True,True,1.0,28.686053419113158,3075,1861,0,0.04952,,False,1849,verticale_descendant_critere,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,14,"Who are the half-siblings of the person with brown hair, blue eyes and a green hat?","Finley,Nia","Finley,Nia",True,True,1.0,28.686074686050414,3075,1861,0,0.04952,,False,1849,demi_fratrie,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,15,Which descendants of Isabel work as a teacher?,"Carol,Nina","Carol,Nina",True,True,1.0,28.68609528541565,3075,1861,0,0.04952,,False,1849,verticale_descendant_critere,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,16,"If the person with strawberry blonde hair, brown eyes and a cream hat has brothers, who are their daughters?","Beatrice,Linda","Beatrice,Linda",True,True,1.0,17.678199148178102,3076,1146,0,0.035224,,False,1139,conditional,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,17,"Which descendants of the person with auburn hair, hazel eyes and a navy hat work as a salesperson?","Mercedes,Travis","Mercedes,Travis",True,True,1.0,17.678215503692627,3076,1146,0,0.035224,,False,1139,verticale_descendant_critere,hard,0,False,,5,stop,openai,high
gpt-5.6@high,hard_v4_en,18,How many half-siblings does Molly have?,1,1,True,True,1.0,17.67822723388672,3076,1146,0,0.035224,,False,1139,demi_fratrie,hard,0,False,,5,stop,openai,high
