model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,cached_tokens,cost_usd,error,no_response,reasoning_tokens,question_type,difficulty,hallucinated_names,is_enigma,enigma_complexity,batch_size,finish_reason
deepseek/deepseek-v4-flash-0731,tree400_en_expert,1,"Which descendants of the person with blonde hair, violet eyes and a cream hat work as a mechanic?","Fabiana,Georgina","Fabiana,Georgina",True,True,1.0,212.67020258903503,2953,6933,0,0.00235466,,False,6926,verticale_descendant_critere,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,2,"Which grandmother of the sister of the grandmother of the person with red hair, green eyes and a red hat has violet eyes?",Iris,Iris,True,True,1.0,212.67022342681884,2953,6933,0,0.00235466,,False,6926,enigme,enigma,0,True,8,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,3,"Among Tegan and their siblings, who has the most children?","Olivia,Tegan",None,False,False,0.0,212.67024011611937,2953,6933,0,0.00235466,,False,6926,conditional,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,4,Which grandmother of the grandchild of the child of Britney has dark brown hair?,Suri,Suri,True,True,1.0,212.67025475502015,2953,6933,0,0.00235466,,False,6926,enigme,enigma,0,True,7,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,5,"Which uncle of the male cousin of the grandchild of the person with chestnut hair, brown eyes and a red hat has blue eyes?",Angus,Angus,True,True,1.0,212.67026901245117,2953,6933,0,0.00235466,,False,6926,enigme,enigma,0,True,8,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,6,Which father of the male cousin of the male cousin of Gemma has dark brown hair?,Sam,Sam,True,True,1.0,123.01416454315185,2936,2028,0,0.0009788800000000001,,False,1854,enigme,enigma,0,True,7,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,7,"Who are the children of the siblings of the grandparents of the person with white hair, green-brown eyes and a turquoise hat?","Angus,Weston","Weston,Angus",True,True,1.0,123.01429133415222,2936,2028,0,0.0009788800000000001,,False,1854,multihop,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,8,Which people without parents work as a teacher?,"Ashlyn,Atlas,Dolores,Franco,Lamont","Franco,Ashlyn,Lamont,Dolores,Atlas",True,True,1.0,123.014369058609,2936,2028,0,0.0009788800000000001,,False,1854,verticale_racine_critere,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,9,What are the hair colors of Cohen's children's in-laws?,"black,jet black,salt and pepper",None,False,False,0.0,123.0144437789917,2936,2028,0,0.0009788800000000001,,False,1854,multihop,hard,0,False,,5,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,10,"Which male cousin of the male cousin of the male cousin of the person with silver hair, hazel eyes and a brown hat wears a purple hat?",Humphrey,Humphrey,True,True,1.0,123.01450071334838,2936,2028,0,0.0009788800000000001,,False,1854,enigme,enigma,0,True,8,5,stop
