model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,cached_tokens,cost_usd,error,no_response,reasoning_tokens,question_type,difficulty,hallucinated_names,is_enigma,enigma_complexity,batch_size,finish_reason
deepseek/deepseek-v4-flash-0731,tree400_en_expert,1,"Which descendants of the person with blonde hair, violet eyes and a cream hat work as a mechanic?","Fabiana,Georgina",,False,False,0.0,2344.635840654373,0,0,0,,"Response payload is not completed: <TransferEncodingError: 400, message='Not enough data for satisfy transfer length header.'>. ConnectionResetError(104, 'Connection reset by peer')",False,0,verticale_descendant_critere,hard,0,False,,1,
deepseek/deepseek-v4-flash-0731,tree400_en_expert,2,"Which grandmother of the sister of the grandmother of the person with red hair, green eyes and a red hat has violet eyes?",Iris,Iris,True,True,1.0,16.13007640838623,14633,1749,0,0.00253834,,False,1746,enigme,enigma,0,True,8,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,3,"Among Tegan and their siblings, who has the most children?","Olivia,Tegan","Tegan,Olivia",True,True,1.0,145.68416690826416,14542,3668,0,0.0030629200000000002,,False,3661,conditional,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,4,Which grandmother of the grandchild of the child of Britney has dark brown hair?,Suri,Suri,True,True,1.0,2017.4247334003448,14625,4088,0,0.0031921400000000004,,False,3847,enigme,enigma,0,True,7,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,5,"Which uncle of the male cousin of the grandchild of the person with chestnut hair, brown eyes and a red hat has blue eyes?",Angus,Angus,True,True,1.0,180.0020716190338,14636,3997,0,0.003168200000000001,,False,3648,enigme,enigma,0,True,8,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,6,Which father of the male cousin of the male cousin of Gemma has dark brown hair?,Sam,Sam,True,True,1.0,145.804096698761,14547,3091,0,0.0029020600000000006,,False,3089,enigme,enigma,0,True,7,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,7,"Who are the children of the siblings of the grandparents of the person with white hair, green-brown eyes and a turquoise hat?","Angus,Weston","Weston,Angus",True,True,1.0,24.164998292922974,14634,4283,0,0.003248,,False,4276,multihop,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,8,Which people without parents work as a teacher?,"Ashlyn,Atlas,Dolores,Franco,Lamont","Franco,Atlas,Ashlyn,Lamont,Dolores",True,True,1.0,105.83998656272888,14617,7424,0,0.0041251000000000005,,False,7408,verticale_racine_critere,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,9,What are the hair colors of Cohen's children's in-laws?,"black,jet black,salt and pepper","jet black,salt,pepper,black",True,True,1.0,467.44966673851013,14621,7069,0,0.00402626,,False,7159,multihop,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,10,"Which male cousin of the male cousin of the male cousin of the person with silver hair, hazel eyes and a brown hat wears a purple hat?",Humphrey,Humphrey,True,True,1.0,119.66749048233032,14559,5825,0,0.00366926,,False,5918,enigme,enigma,0,True,8,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,11,"Among the person with strawberry blonde hair, green eyes and a purple hat and their siblings, who has the most children?",Kinley,Kinley,True,True,1.0,66.07903599739075,14632,2139,0,0.0026474000000000003,,False,2015,conditional,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,12,"Which aunt of the grandfather of the father of the person with white hair, green-brown eyes and a burgundy hat wears a purple hat?",Sage,Sage,True,True,1.0,48.49689292907715,14636,7060,0,0.004025840000000001,,False,7904,enigme,enigma,0,True,8,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,13,Which child of the grandmother of the daughter of Selma has blonde hair?,Chance,Chance,True,True,1.0,43.09854745864868,14544,1668,0,0.0025032,,False,1618,enigme,enigma,0,True,7,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,14,"Which sister of the grandmother of the sister of the person with silver hair, blue-gray eyes and a silver hat wears a beige hat?",Rafaela,Rafaela,True,True,1.0,15.483423471450806,14637,3016,0,0.00289366,,False,3010,enigme,enigma,0,True,8,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,15,Which child of the grandfather of the child of Jason has dark brown hair?,Britney,Britney,True,True,1.0,76.12995672225952,14623,1118,7424,0.0023602600000000003,,False,1170,enigme,enigma,0,True,7,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,16,Which descendants of Ralph work as a translator?,"Edison,Jessie,Leah","Leah,Jessie,Edison",True,True,1.0,184.35449695587158,14617,3620,0,0.0030599800000000003,,False,3417,verticale_descendant_critere,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,17,"Among Emery and their siblings, who has the most children?","Emery,Helga,Tia","Emery,Helga,Tia",True,True,1.0,389.0736520290375,14621,7149,7424,0.00404866,,False,6918,conditional,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,18,Who are the grandchildren of Leora's siblings?,"Cecilia,Chance,Elsie,Janelle,Landon,Penelope,Sheena,Stephanie,Wil","Stephanie,Sheena,Cecilia,Elsie,Landon,Janelle,Penelope,Chance,Wil",True,True,1.0,334.75326919555664,14618,6055,0,0.00374192,,False,5459,multihop,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,19,Which descendants of Ilias work as a pharmacist?,"Bruno,Penelope","Bruno,Penelope",True,True,1.0,98.75600266456604,14618,10777,0,0.005064080000000001,,False,8685,verticale_descendant_critere,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,20,Which descendants of Margery work as a teacher?,"Barnaby,Elroy","Elroy,Barnaby",True,True,1.0,275.2593152523041,14618,6052,7424,0.0037410800000000004,,False,5262,verticale_descendant_critere,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,21,Which female cousin of the mother of the brother of Sinclair wears a blue hat?,Lucy,Lucy,True,True,1.0,22.038362503051758,14624,1252,0,0.00239792,,False,1189,enigme,enigma,0,True,7,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,22,Who is the grandchild of Celestine who has the same hair color as the grandmother of the aunt of Beth?,Temperance,Temperance,True,True,1.0,15.448528051376343,14631,1409,0,0.0024428600000000003,,False,1401,enigme,enigma,0,True,9,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,23,"Who are the grandchildren of the siblings of the person with salt and pepper hair, violet eyes and a black hat?",Rosalie,Rosalie,True,True,1.0,26.072566032409668,14631,1802,0,0.0025529,,False,1852,multihop,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,24,"Which grandchild of the son of the aunt of the person with red hair, green eyes and a gold hat has brown hair?",Rebecca,Rebecca,True,True,1.0,173.72950649261475,14634,11002,0,0.005129320000000001,,False,9834,enigme,enigma,0,True,8,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,25,"Among Vera and their siblings, who has the most children?","Etta,Evangeline,Vera",None,False,False,0.0,149.83755660057068,14620,13437,0,0.005809160000000001,,False,11146,conditional,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,26,"Among Weston and their siblings, who has the most children?",Weston,Weston,True,True,1.0,15.455357074737549,14620,1717,0,0.0025275600000000003,,False,1522,conditional,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,27,"Which descendants of the person with dark brown hair, black eyes and a tan hat work as a chef?","Bertha,Javier,Vince","Javier,Vince,Bertha",True,True,1.0,227.87889909744263,14629,24026,0,0.00877534,,False,20166,verticale_descendant_critere,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,28,"What are the hair colors of the in-laws of the children of the person with platinum blonde hair, violet eyes and an orange hat?","auburn,dark brown,platinum blonde",None,False,False,0.0,57.719606161117554,14635,5506,0,0.00359058,,False,5655,multihop,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,29,"If the person with silver hair, hazel eyes and a brown hat has brothers, who are their daughters?",Janelle,Janelle,True,True,1.0,105.37522506713867,14630,8506,0,0.004429880000000001,,False,8997,conditional,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,30,"Among the person with brown hair, black eyes and a green hat and their siblings, who has the most children?","Gemma,Rudolph",None,False,False,0.0,186.7948727607727,14631,15853,0,0.00648718,,False,15873,conditional,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,31,Which mother of the sister of the uncle of Lorenzo has blonde hair?,Fabiana,Fabiana,True,True,1.0,7.980348587036133,14622,553,0,0.00220192,,False,572,enigme,enigma,0,True,7,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,32,Which descendants of Tessa work as a farmer?,"Janine,Phoebe,Sally","Janine,Phoebe,Sally",True,True,1.0,79.15699028968811,14618,7322,0,0.00409668,,False,6388,verticale_descendant_critere,hard,0,False,,1,stop
deepseek/deepseek-v4-flash-0731,tree400_en_expert,33,"Which grandchild of the grandfather of the mother of the person with brown hair, amber eyes and a red hat has brown hair?",Avery,Avery,True,True,1.0,154.67607259750366,14634,14537,0,0.0061191200000000005,,False,15233,enigme,enigma,0,True,8,1,stop
