model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,cached_tokens,cost_usd,error,no_response,reasoning_tokens,question_type,difficulty,hallucinated_names,is_enigma,enigma_complexity,batch_size,finish_reason,provider
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,1,Which grandfather of the aunt of the grandfather of Lacey has blue eyes?,Darren,Darren,True,True,1.0,47.45167016983032,15663,5571,15360,0.0037527000000000003,,False,5163,enigme,enigma,0,True,7,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,2,Which grandmother of the father of the sister of Howard wears a black hat?,Alina,Alina,True,True,1.0,0.003274679183959961,15663,13072,0,0.005852980000000001,,False,10263,enigme,enigma,0,True,7,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,3,"Which son of the aunt of the child of the person with red hair, green-brown eyes and a beige hat has black hair?",Tyler,Tyler,True,True,1.0,0.000644683837890625,15675,7900,0,0.0044065,,False,7036,enigme,enigma,0,True,8,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,4,"Who are the children of the siblings of the grandparents of the person with jet black hair, blue-gray eyes and a purple hat?","Joanne,Lexi,Truman","Hogan,Truman,Joanne",False,False,0.5,0.00047779083251953125,15674,2433,0,0.0028756000000000003,,False,2260,multihop,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,5,What are the hair colors of Lesley's children's in-laws?,"gray,light brown",None,False,False,0.0,0.00042629241943359375,15662,1921,0,0.0027305600000000004,,False,1882,multihop,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,6,"Which of the children of the person with light brown hair, gray eyes and a navy hat have children who work in the same profession as the person with light brown hair, gray eyes and a navy hat?",Darius,Darius,True,True,1.0,0.0005235671997070312,15689,2642,15360,0.0029362200000000002,,False,2464,conditional,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,7,"Among people who have at least one descendant, who has the most?","Braxton,Wanda",,False,False,0.0,817.8975381851196,15662,160000,15360,0.04699268000000001,,True,138857,comparative,hard,0,False,,1,length,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,8,Who is the child of the mother of Emily who has the same hat color as the grandfather of Kieran?,Amber,Amber,True,True,1.0,0.0004630088806152344,15670,2124,15360,0.0027885200000000005,,False,2124,enigme,enigma,0,True,9,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,9,Who are the children of Gabriela's grandparents' siblings?,Ashton,Ashton,True,True,1.0,0.00041747093200683594,15660,1626,15360,0.0026476800000000003,,False,1467,multihop,hard,0,False,,1,stop,CoreWeave
deepseek/deepseek-v4-flash-0731,tree400_v4_en_expert,10,"Which aunt of the grandchild of the daughter of the person with auburn hair, blue-gray eyes and a cream hat has black eyes?",Brielle,None,False,False,0.0,58.56604290008545,15677,8312,15360,0.00452214,,False,7841,enigme,enigma,0,True,8,1,stop,CoreWeave
